firstName,apiVersion,script,id,firstName,lastName,countryOrigin,countryOriginAlt,countriesOriginTop,score,regionOrigin,topRegionOrigin,subRegionOrigin,probabilityCalibrated,probabilityAltCalibrated
harper,namsor_api_2.0.24,LATIN,f55f5354-14ac-43c3-bf1d-ce3ef2c63526,harper,,NL,TR,"NL,TR,DK,NO,SE,LR,IS,IL,AF,AM",0.038257448,Europe,Europe,Western Europe,0.356533703,0.356533703
ethan,namsor_api_2.0.24,LATIN,31d840de-f312-4c8e-8250-cb24cc015c6c,ethan,,GB,IE,"GB,IE,IL,TW,FR,TR,ET,AZ,KH,NA",0.838027438,Europe,Europe,Northern Europe,0.458615893,0.458615893
audrey,namsor_api_2.0.24,LATIN,2e06fbf5-c713-477f-85f6-1cd3c7d8bf98,audrey,,FR,GB,"FR,GB,CM,RU,BE,KE,NL,IE,BY,IL",5.489326499,Europe,Europe,Western Europe,0.64230777,0.698098267
lachlan,namsor_api_2.0.24,LATIN,e1dbbee1-fc9c-4a8c-a6e5-e09f0d29d566,lachlan,,AZ,GB,"AZ,GB,BG,TM,GE,UZ,KH,IL,RO,HU",1.201860495,Asia,Asia,Western Asia,0.470326384,0.476212844
sophie,namsor_api_2.0.24,LATIN,9dfb717e-0e1c-4210-9f65-cd839214dc17,sophie,,FR,BE,"FR,BE,GB,IL,KH,NL,CM,SE,GE,BF",1.208066625,Europe,Europe,Western Europe,0.470508492,0.542426583
oscar,namsor_api_2.0.24,LATIN,a685c477-463f-4787-a372-9d9e88f5e3be,oscar,,SE,IL,"SE,IL,KE,TZ,NO,NL,NA,DE,CM,UZ",2.141578901,Europe,Europe,Northern Europe,0.491169238,0.684465444
evelyn,namsor_api_2.0.24,LATIN,762ffad3-a10b-4df3-a7c8-2137a4d518a4,evelyn,,KE,LR,"KE,LR,IE,GB,EE,IL,NL,AT,BE,CH",0.042321092,Africa,Africa,Eastern Africa,0.357229019,0.452339398
harrison,namsor_api_2.0.24,LATIN,ee03d863-7717-465b-b46f-56307e71edaf,harrison,,KE,LR,"KE,LR,GB,MG,IE,NL,TZ,IL,NA,ID",0.481708326,Africa,Africa,Eastern Africa,0.430884371,0.4416694
mila,namsor_api_2.0.24,LATIN,3154f3ce-9a13-4886-b45d-f75ab1c4fc58,mila,,RS,RS,"RS,RS,SK,CZ,BG,GE,AZ,IL,MD,UA",0,Europe,Europe,Southern Europe,0.255609748,0.375232229
isaac,namsor_api_2.0.24,LATIN,80bc0781-607c-46f1-9470-241b60f40b09,isaac,,KE,LR,"KE,LR,IE,CM,GB,IL,TZ,BW,TD,NA",2.395849239,Africa,Africa,Eastern Africa,0.494746757,0.769686348
sofia,namsor_api_2.0.24,LATIN,96e48ff1-9dad-472b-87aa-3e4207c93a41,sofia,,MD,IL,"MD,IL,SE,UA,SK,BG,CY,GE,MA,NA",1.256737723,Europe,Europe,Eastern Europe,0.471915506,0.476934612
cooper,namsor_api_2.0.24,LATIN,5442cc0f-8f8e-49e3-9dae-9f6a5545e48d,cooper,,LR,NL,"LR,NL,IL,TW,SE,GB,DK,KE,AZ,BE",6.916802657,Africa,Africa,Western Africa,0.708334262,0.79867798
ivy,namsor_api_2.0.24,LATIN,aa663694-1be2-45ec-a469-8b234cd62e91,ivy,,TW,GB,"TW,GB,KE,KH,NA,MY,IL,VN,BE,NL",0,Asia,Asia,Eastern Asia,0.297996753,0.33720142
max,namsor_api_2.0.24,LATIN,616bcd18-dddf-42de-9006-a9747c93df2c,max,,DE,UA,"DE,UA,NL,CH,SE,AT,FR,NA,IL,DK",4.492773238,Europe,Europe,Western Europe,0.581064996,0.630576796
ruby,namsor_api_2.0.24,LATIN,c317979c-7abe-4c7e-b9f7-ebe34bc86226,ruby,,NL,GB,"NL,GB,TW,ID,BN,IE,IL,NA,ZA,JO",1.71736944,Europe,Europe,Western Europe,0.483381173,0.517543125
george,namsor_api_2.0.24,LATIN,4ab74763-d4d5-4797-8b95-18a7a52750ba,george,,CY,RO,"CY,RO,KE,BG,GB,IE,LB,LR,GE,CM",3.452473799,Asia,Asia,Western Asia,0.521800537,0.571669621
aria,namsor_api_2.0.24,LATIN,d27e681c-e332-4f67-9dd3-5f51a2de9203,aria,,ID,GE,"ID,GE,IL,MD,IT,CY,RU,UA,RO,NL",0.923286598,Asia,Asia,South-Eastern Asia,0.461536932,0.477654309
arthur,namsor_api_2.0.24,LATIN,15de0e8c-e2dc-4985-ba77-2b6b0765a638,arthur,,AM,DE,"AM,DE,RU,IE,FR,NL,CH,GB,IL,LR",5.604639795,Asia,Asia,Western Asia,0.648112562,0.76435554
hazel,namsor_api_2.0.24,LATIN,0e83fe93-8731-42a5-8af6-e0bf2c1f6c36,hazel,,GB,IE,"GB,IE,TR,AF,MY,JO,IQ,IL,EG,NA",3.528366877,Europe,Europe,Northern Europe,0.528380432,0.532058399
sebastian,namsor_api_2.0.24,LATIN,c62f86f5-e187-4b38-abb6-0ec5bea07390,sebastian,,DE,RO,"DE,RO,AT,CH,FR,DK,SE,PL,NL,BE",0.635168083,Europe,Europe,Western Europe,0.451274428,0.453124217
maya,namsor_api_2.0.24,LATIN,9a8be20e-1a6d-43fd-95a9-ba49ba8f6b9d,maya,,IL,BG,"IL,BG,AZ,LB,TM,IN,LK,EG,NE,ID",0.987547361,Asia,Asia,Western Asia,0.463669105,0.494781407
kai,namsor_api_2.0.24,LATIN,1cd77220-a090-41c8-bd2e-3064cf8dc9cc,kai,,TW,EE,"TW,EE,JP,FI,MY,KZ,MM,DK,NO,KG",1.303419801,Asia,Asia,Eastern Asia,0.473229675,0.614922197
zara,namsor_api_2.0.24,LATIN,72b9285f-a299-426f-bfd9-405f5fdc6633,zara,,AZ,NE,"AZ,NE,PK,AM,GE,KZ,UZ,MY,AF,BF",3.479514542,Asia,Asia,Western Asia,0.524199,0.560708096
hunter,namsor_api_2.0.24,LATIN,5c70c620-0077-4130-9cce-14209bc1ceff,hunter,,TW,DE,"TW,DE,AT,HU,GB,KE,NL,BE,DK,AZ",3.154942896,Asia,Asia,Eastern Asia,0.501791115,0.592480148
lucy,namsor_api_2.0.24,LATIN,5b8b98ea-7b53-4a34-b2c8-25053cef040a,lucy,,KE,GB,"KE,GB,IE,LR,TZ,NA,IL,ZA,NL,AM",6.104692065,Africa,Africa,Eastern Africa,0.666836381,0.695196602
harvey,namsor_api_2.0.24,LATIN,b6a0dfa6-d9cb-49e1-a38b-f606dfe7c284,harvey,,GB,IL,"GB,IL,NL,TW,LR,KE,IE,KH,AM,ID",3.901158594,Europe,Europe,Northern Europe,0.554641149,0.610474293
florence,namsor_api_2.0.24,LATIN,c6a49724-68f2-4a91-b67c-6ba6db672821,florence,,FR,CM,"FR,CM,KE,LR,IE,TZ,CH,GB,BE,NL",0.074009847,Europe,Europe,Western Europe,0.362648678,0.474353884
benjamin,namsor_api_2.0.24,LATIN,4bd7e708-33c3-4514-ab4b-cff41da1bc67,benjamin,,FR,KE,"FR,KE,CH,DE,IL,BE,CM,LR,GB,DK",0,Europe,Europe,Western Europe,0.308136675,0.368579208
georgia,namsor_api_2.0.24,LATIN,4271023a-dc97-48ec-ab8d-f6ff159f4b5d,georgia,,CY,BG,"CY,BG,RO,GE,GB,LB,KE,LR,RU,IE",8.171131001,Asia,Asia,Western Asia,0.749654301,0.778318056
harry,namsor_api_2.0.24,LATIN,2457af77-ec06-4a62-8358-6b1fceb0a5b2,harry,,NL,ID,"NL,ID,GB,IE,IL,MG,LR,KE,BN,NA",0.955705157,Europe,Europe,Western Europe,0.462620191,0.478455922
luna,namsor_api_2.0.24,LATIN,4dabc7ea-bb68-4dbe-b2f8-40a0cbd1346a,luna,,GE,IL,"GE,IL,HR,ZA,NA,KH,TW,JO,IT,RO",3.996270964,Asia,Asia,Western Asia,0.559971768,0.736662745
arlo,namsor_api_2.0.24,LATIN,215f4036-639c-430b-82dc-7299ee5aac4e,arlo,,GE,HR,"GE,HR,IT,NL,CH,FI,EE,BE,UZ,ID",0.188887803,Asia,Asia,Western Asia,0.382223024,0.448061664
violet,namsor_api_2.0.24,LATIN,dad9985c-7f6e-402d-9fce-ff7f98d200b2,violet,,KE,BG,"KE,BG,GB,IE,IL,AM,GE,NL,RO,NA",0.250615701,Africa,Africa,Eastern Africa,0.392662019,0.392662019
hugo,namsor_api_2.0.24,LATIN,c843b6d6-acb3-4960-ba89-aa55ab0c88d4,hugo,,DE,CH,"DE,CH,BE,EE,NL,FR,SE,TW,DK,NO",6.280267284,Europe,Europe,Western Europe,0.671491779,0.70476838
emily,namsor_api_2.0.24,LATIN,eaea175b-263f-4592-9e3a-817481ba4154,emily,,IE,KE,"IE,KE,NA,GB,BG,IL,AZ,NL,BE,SE",1.41854884,Europe,Europe,Northern Europe,0.47632258,0.47632258
mason,namsor_api_2.0.24,LATIN,8d59c9aa-a43d-40d8-8a6a-6ce54f627f7b,mason,,LR,GB,"LR,GB,TZ,NA,KE,TW,ZA,IL,MY,GE",1.890065323,Africa,Africa,Western Africa,0.486849912,0.486849912
daisy,namsor_api_2.0.24,LATIN,c8d8c166-c250-4cde-aaba-269cf19ca860,daisy,,KE,GB,"KE,GB,NL,BE,VN,IL,NA,IE,TW,ID",1.736806701,Africa,Africa,Eastern Africa,0.483793207,0.487679694
jacob,namsor_api_2.0.24,LATIN,2e95d99a-a364-4832-a256-b1b7106b3183,jacob,,DK,NL,"DK,NL,KE,LR,NA,TZ,SE,DE,GB,IL",3.853040795,Europe,Europe,Northern Europe,0.55175299,0.618616749
aurora,namsor_api_2.0.24,LATIN,8e332587-44c3-41cf-b9b5-c98b1518b18d,aurora,,RO,MD,"RO,MD,IT,IL,SK,FR,LT,CH,FI,GE",3.8762107,Europe,Europe,Eastern Europe,0.553160357,0.74400903
archer,namsor_api_2.0.24,LATIN,4737128a-fa0a-4802-af7c-59c08cce64c9,archer,,GE,GB,"GE,GB,LR,IL,NL,IE,UZ,DE,AM,CM",0.365205408,Asia,Asia,Western Asia,0.411814493,0.413094936
layla,namsor_api_2.0.24,LATIN,d6db20c0-c9aa-4740-bf62-19ae1ff80df2,layla,,AZ,AE,"AZ,AE,IL,BH,LB,SA,UZ,MA,KH,BG",0.9437858,Asia,Asia,Western Asia,0.462223698,0.464457073
samuel,namsor_api_2.0.24,LATIN,8c64559b-e41b-4690-ab2c-54b239138a97,samuel,,ET,LR,"ET,LR,KE,IL,CH,CM,GB,IE,NA,TZ",0.63464369,Africa,Africa,Eastern Africa,0.451254792,0.451254792
hannah,namsor_api_2.0.24,LATIN,467ff97b-93de-48a5-8a8d-6a9f355d613c,hannah,,LR,IE,"LR,IE,MY,BN,KE,IL,GB,ID,DE,NL",0.933497004,Africa,Africa,Western Africa,0.461879768,0.485727036
beau,namsor_api_2.0.24,LATIN,be4f6616-4b9b-4cb8-8194-a47760f4fc8e,beau,,CM,NL,"CM,NL,NA,TW,KE,LR,FR,CI,ZA,BE",1.534433559,Africa,Africa,Middle Africa,0.479224031,0.484882738
scarlett,namsor_api_2.0.24,LATIN,2e3773ac-a278-4892-a9de-d799c8c5a989,scarlett,,GB,HU,"GB,HU,ZA,DE,NA,IL,NL,TW,IE,DK",0.733329009,Europe,Europe,Northern Europe,0.454892299,0.612678162
xavier,namsor_api_2.0.24,LATIN,43ee3742-b801-42b6-b200-2e98bd072088,xavier,,FR,BE,"FR,BE,CH,CM,IL,NL,DE,CF,UZ,MG",1.535487972,Europe,Europe,Western Europe,0.479249465,0.672086846
frankie,namsor_api_2.0.24,LATIN,34b0d2a9-0592-4299-80f6-9a1f0aa0a8e7,frankie,,NL,IE,"NL,IE,NA,FR,BE,CM,ZA,GB,LR,KE",0.980974971,Europe,Europe,Western Europe,0.463453839,0.463453839
joshua,namsor_api_2.0.24,LATIN,49d2861d-ce84-4d46-b27a-c6923dbeea13,joshua,,KE,LR,"KE,LR,GB,TZ,NA,IL,IE,NL,FJ,TW",4.998932728,Africa,Africa,Eastern Africa,0.608675329,0.712050773
ellie,namsor_api_2.0.24,LATIN,f7ab6786-86c5-4efd-bc52-16bef1f01660,ellie,,IE,NL,"IE,NL,GB,IL,NA,SE,LR,DK,BE,ZA",2.505649031,Europe,Europe,Northern Europe,0.496074273,0.496074273
finn,namsor_api_2.0.24,LATIN,e1f0de7b-8829-4c3a-9490-95241bc582d9,finn,,DK,NO,"DK,NO,IS,IE,SE,TW,GB,DE,NL,BE",4.721993484,Europe,Europe,Northern Europe,0.587848426,0.802209596
penelope,namsor_api_2.0.24,LATIN,18a0f9e0-2e4c-42d8-aef8-d61fc81a730c,penelope,,GB,NA,"GB,NA,ZA,FJ,CY,FR,IE,KE,BW,CI",1.160761781,Europe,Europe,Northern Europe,0.469105076,0.503729317
joseph,namsor_api_2.0.24,LATIN,003d325c-769d-4ea6-8c34-66c16ceaa953,joseph,,KE,LR,"KE,LR,FR,IE,CM,DE,LB,BE,NA,TZ",1.929887223,Africa,Africa,Eastern Africa,0.487589853,0.48970579
isabelle,namsor_api_2.0.24,LATIN,055516e4-98ee-4c5d-bc4d-c86a7d2192ae,isabelle,,FR,BE,"FR,BE,CM,CH,GB,NL,BF,IE,DK,CI",2.325880644,Europe,Europe,Western Europe,0.49383508,0.49383508
ryan,namsor_api_2.0.24,LATIN,84a005ae-9c9e-4d4c-8146-13ed695241b2,ryan,,GB,ID,"GB,ID,NL,TW,IE,BN,KH,MY,BG,SA",2.6567912,Europe,Europe,Northern Europe,0.497710203,0.502579507
emilia,namsor_api_2.0.24,LATIN,dc76fdfe-8b90-4c5d-854b-d7c4eafa2c3c,emilia,,SK,MD,"SK,MD,BG,GE,NA,PL,RO,SE,IT,IL",4.25873074,Europe,Europe,Eastern Europe,0.572377857,0.645747699
edward,namsor_api_2.0.24,LATIN,1a737293-1301-4ac1-9608-755d11cc74f0,edward,,IE,KE,"IE,KE,GB,NL,LR,TZ,BE,AM,NA,PL",1.395394807,Europe,Europe,Northern Europe,0.47571747,0.55504873
ayla,namsor_api_2.0.24,LATIN,4ff6ed55-ca8e-4c85-a75d-28d5b119ba1a,ayla,,AZ,TR,"AZ,TR,TM,AE,BG,BH,UZ,LB,IL,MA",4.54870562,Asia,Asia,Western Asia,0.582863332,0.874579001
muhammad,namsor_api_2.0.24,LATIN,02a4c584-cd1b-4e44-bb1d-70d065491162,muhammad,,PK,MY,"PK,MY,SY,AF,BN,SA,UZ,BD,JO,IQ",4.145204679,Asia,Asia,Southern Asia,0.567395891,0.60191024
poppy,namsor_api_2.0.24,LATIN,d92904ea-3c85-4340-9860-8075d6dec164,poppy,,NA,ZA,"NA,ZA,ID,GB,BW,TW,KH,BD,MM,TZ",1.429369656,Africa,Africa,Southern Africa,0.476602461,0.574483792
louis,namsor_api_2.0.24,LATIN,5c47a9b3-9381-4c31-a712-8e6f2e0dbec5,louis,,FR,BE,"FR,BE,CY,CM,DK,NL,IE,LB,CI,CH",8.491126192,Europe,Europe,Western Europe,0.766595055,0.810783985
eleanor,namsor_api_2.0.24,LATIN,a13ef655-61ff-427b-8077-d6bd0841d894,eleanor,,IE,GB,"IE,GB,MD,IL,UZ,MY,RU,NA,GE,SE",2.951759033,Europe,Europe,Northern Europe,0.500342894,0.502978119
austin,namsor_api_2.0.24,LATIN,bb759e28-3d40-4597-831a-d320b9b36109,austin,,IE,LR,"IE,LR,KE,GB,MM,RO,CM,DE,NO,TW",0,Europe,Europe,Northern Europe,0.330436656,0.330436656
abigail,namsor_api_2.0.24,LATIN,bc6d76de-fc8e-4b80-9d4c-f1c9ce9b80ef,abigail,,AZ,GB,"AZ,GB,IL,UZ,IE,IQ,AE,GE,KE,ZA",0,Asia,Asia,Western Asia,0.324771089,0.403616724
logan,namsor_api_2.0.24,LATIN,a2368d76-aa33-4890-aac0-a739b3a332ee,logan,,GB,FR,"GB,FR,VN,ZA,AZ,TW,RO,MY,CI,TR",0.110040363,Europe,Europe,Northern Europe,0.368803035,0.396782982
emma,namsor_api_2.0.24,LATIN,64ad4dce-e6cf-430b-bb4d-503c21478b65,emma,,SE,GB,"SE,GB,LR,IE,AM,NA,TZ,KE,FI,FR",1.254496871,Europe,Europe,Northern Europe,0.471851552,0.471851552
daniel,namsor_api_2.0.24,LATIN,3caaf093-cee6-4081-8e2f-b3d4e0ab60e4,daniel,,RO,CH,"RO,CH,ET,BG,CZ,KE,HR,IL,LR,SE",1.365255358,Europe,Europe,Eastern Europe,0.474917057,0.474917057
eva,namsor_api_2.0.24,LATIN,8ae5f23e-75d1-4960-be75-9bc76a29d442,eva,,SK,SE,"SK,SE,IL,BG,CZ,HU,GE,AT,NL,KE",4.767283654,Europe,Europe,Eastern Europe,0.589017476,0.662404081
adam,namsor_api_2.0.24,LATIN,926a335a-d563-4140-ab26-2095d6974d82,adam,,PL,HU,"PL,HU,TD,IL,GB,NE,CZ,MA,AZ,ET",4.410872281,Europe,Europe,Eastern Europe,0.578247781,0.626359177
elsie,namsor_api_2.0.24,LATIN,9c6196fa-9a7b-47d8-8eaf-28eb2c18a0a0,elsie,,GB,IE,"GB,IE,NA,ZA,BE,KE,DK,NL,IL,CM",2.874861668,Europe,Europe,Northern Europe,0.499721549,0.578587882
michael,namsor_api_2.0.24,LATIN,fb843041-f032-4987-b28e-a05800800f03,michael,,AT,DE,"AT,DE,DK,CH,CZ,IE,FR,KE,NL,SE",1.572126471,Europe,Europe,Western Europe,0.480122499,0.480122499
billie,namsor_api_2.0.24,LATIN,cedf9066-b61c-42ae-b0a9-d6d8f5fd054f,billie,,LR,GB,"LR,GB,IE,IL,CM,SE,NL,ZA,KE,BF",0,Africa,Africa,Western Africa,0.237845732,0.33514738
sonny,namsor_api_2.0.24,LATIN,e61dec55-bcd5-41d4-a5c2-abe2544e834f,sonny,,ID,KH,"ID,KH,SE,BE,NL,DK,NA,IL,ZA,NO",1.558075647,Asia,Asia,South-Eastern Asia,0.479790152,0.585075503
mackenzie,namsor_api_2.0.24,LATIN,23c27a45-6e8e-4665-9576-f0098d1adb45,mackenzie,,ZA,IE,"ZA,IE,GB,NA,CM,KE,NL,CZ,IL,BF",2.150727313,Africa,Africa,Southern Africa,0.491311058,0.491311058
jackson,namsor_api_2.0.24,LATIN,a50890c3-4a10-4548-938f-ffe42e6cae8f,jackson,,KE,TZ,"KE,TZ,LR,NA,GB,NL,IE,TW,FR,IL",2.562004344,Africa,Africa,Eastern Africa,0.496709192,0.593565162
freya,namsor_api_2.0.24,LATIN,ee08dd3a-4de4-4364-9a94-e323dfc5f0f8,freya,,BE,ET,"BE,ET,NA,GB,IL,NL,DK,TW,TZ,KE",0.352948383,Europe,Europe,Western Europe,0.409782593,0.454254657
jasper,namsor_api_2.0.24,LATIN,88de53f9-f712-402e-b3d2-8f932c99bfda,jasper,,NL,DK,"NL,DK,KE,SE,BE,SI,EE,UZ,TZ,GB",3.420114612,Europe,Europe,Western Europe,0.518849176,0.734637483
